C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 11140, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 20984, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 24924, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 30028, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 14728, DELL\HONG AN
C:\Program Files\WindowsApps\MicrosoftTeams_24151.2105.2943.2101_x64__8wekyb3d8bbwe\msteams.exe, 4536, DELL\HONG AN
C:\Windows\System32\RuntimeBroker.exe, 29224, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 27604, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 636, DELL\HONG AN
C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe, 3320, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 20444, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 11256, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 24732, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 28428, DELL\HONG AN
C:\Program Files\NetBeans-21\netbeans\bin\netbeans64.exe, 26860, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 10152, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 2696, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 772, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 25548, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 20564, DELL\HONG AN
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, 17688, DELL\HONG AN
C:\Windows\System32\RuntimeBroker.exe, 29556, DELL\HONG AN
C:\Program Files\Dell\MyDell\Console\Dell.UCA.Systray.exe, 16648, DELL\HONG AN
C:\Windows\System32\svchost.exe, 2924, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 22120, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 5076, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 20012, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 30352, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 21200, DELL\HONG AN
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.68\msedgewebview2.exe, 23356, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 21464, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 4296, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 15236, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 26036, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 17456, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 32156, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 28692, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 18080, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 19344, DELL\HONG AN
C:\Program Files\Google\Chrome\Application\chrome.exe, 18592, DELL\HONG AN
C:\Program Files\Java\jdk-17\bin\java.exe, 5904, DELL\HONG AN
C:\Windows\System32\conhost.exe, 18428, DELL\HONG AN
C:\Program Files\DeskIn\DeskIn.exe, 22196, DELL\HONG AN
C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2405.13.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe, 30560, DELL\HONG AN
